bin_id	Clone_0	Clone_1
bin_0	10	1
bin_1	10	1
bin_2	10	1
bin_3	10	1
bin_4	10	1
bin_5	10	1
bin_6	10	1
bin_7	10	1
bin_8	10	1
bin_9	10	1
bin_10	10	1
bin_11	10	1
bin_12	10	1
bin_13	10	1
bin_14	10	1
bin_15	10	1
bin_16	10	1
bin_17	10	1
bin_18	10	1
bin_19	10	1
bin_20	10	1
bin_21	10	1
bin_22	10	1
bin_23	10	1
bin_24	10	1
bin_25	1	10
bin_26	1	10
bin_27	1	10
bin_28	1	10
bin_29	1	10
bin_30	1	10
bin_31	1	10
bin_32	1	10
bin_33	1	10
bin_34	1	10
bin_35	1	10
bin_36	1	10
bin_37	1	10
bin_38	1	10
bin_39	1	10
bin_40	1	10
bin_41	1	10
bin_42	1	10
bin_43	1	10
bin_44	1	10
bin_45	1	10
bin_46	1	10
bin_47	1	10
bin_48	1	10
bin_49	1	10
